site,average
aargcomau,0.592034
abiequinecom,0.776342
activeboardcom,0.859019
adventuresinestrogenblogspotcom,0.601342
afsrechtsanwaeltede,0.471919
aimhigheracuk,0.602092
aldunningcom,0.996502
alitoloeeiblogfacom,0.291765
allpredatorcallscom,0.738033
allthingslakecom,0.856741
amarylliscreationscom,0.397562
americanfreedomwatchradiocom,0.998980
arkedustatearus,0.577865
arsenalartsorg,0.566324
artistsvswalmarttumblrcom,0.938112
askingsmarterquestionscom,0.998906
badhostesscom,0.729197
bicyclelacrossecom,0.544091
bloginstapapercom,0.996904
blogmattmelvincom,0.568608
bmbeautycojp,0.951220
bwjdesigncom,0.203040
campusrecreationtxstateedu,0.671005
carriebodlecom,0.990522
communityenhancetvcomau,0.912707
contigogobmx,0.514595
coupongreatcom,0.977386
dakchitypepadcom,0.999895
deepimpactumdedu,0.498530
designedcouk,0.600099
devonlehmancom,0.548255
dotfivecom,0.486908
eceuropaeu,0.406612
ecofurnituredesigncom,0.879149
europeanhistoryaboutcom,0.946629
excelsiorbrewcom,0.499589
farfetchcom,0.364482
firstdownsportsbarcom,0.893146
floridabankruptcyhelpcom,0.748990
frankmanzettiscom,0.996353
freddiehubbardmusiccom,0.991277
friendstertweakerscom,0.645493
gameendingscouk,0.780536
geekpopcouk,0.359043
goosecreekassnorg,0.541899
grahamowengallerycom,0.503902
greatlifetourscom,0.770634
grumpyoldmattcom,0.499063
horseracingbetfaircom,0.585304
hotelgarbiibizacom,0.583612
huguesblogscom,0.800471
humondeviantartcom,0.120095
hurricanecreekhomesteadcom,0.341391
ibntaimiahalislamcom,0.999224
ihacomcn,0.994630
ilfdinarwordpresscom,0.627412
infofedsca,1.000000
ishinnavicom,0.998904
jackcontebandcampcom,0.983850
joelargecom,0.744289
kathelinejeanpierrecom,0.597648
kenyaunorg,0.949576
kingtutshopcom,0.768657
ksmrsmumnedu,0.396856
landsbergjewelerscom,0.617201
lemailloncom,0.138507
lifestarrescuecom,0.482659
mattdennblogsdelawaregov,0.999211
mcdonaldscomtw,0.143448
meatthetruthcom,0.587287
medispaseattlecom,0.557773
mfeeltiptopcom,0.373719
minuautoremontee,0.854139
monicaespositoartcom,0.599485
mytopiacom,0.062935
nationalpolicyinstituteorg,0.657252
oafbca,0.370212
openlistca,0.560720
oxfordkarateacademycom,0.996510
pcballoonadventurescom,0.597084
penrynoakstablescom,0.285809
phpkitde,0.430906
plrme,0.860636
pnacinfo,0.913303
portalofevilcom,0.586615
praxisinternationalorg,0.270961
psccampscom,0.702164
quickieschicagoblogspotcom,0.991019
radionorthlandorg,0.886904
rockandroadde,0.861114
romaomaticcom,0.952162
rosenfeldmediacom,0.772307
rssowlorg,0.764431
rsssoftwarede,0.564411
rubyforgeorg,0.232896
saleshoecom,0.767468
sanfordblogspotcom,0.899637
sautewednesdaycom,0.804876
scvngrmobi,0.801253
stuartwebercom,0.503360
sudantimescom,0.867415
surveillanceandsocietyorg,0.571219
swcazedu,0.578015
tavshilcoil,0.577934
telapakorg,0.586221
tendollarlogoscom,0.598487
thelastgringocom,0.562037
thetexastheatrecom,0.799570
threatcorecom,0.507628
trekradionet,0.339553
ukraineusembassygov,0.954424
uuccharlotteorg,0.410521
wahmblogpostiecom,0.707266
wangulencom,0.160415
wcclinicalcom,0.486573
whalewatchneaqorg,0.998827
windandstarscom,0.950469
yesonbinfo,0.452817
yourhomestagingtorstardigitalnet,0.553751
yuedujo,0.334213
zentexturescom,0.585284
