site,alsumRandomSim,alsumTemporalSim
aargcomau,0.976300,0.993783
abiequinecom,0.998349,0.998409
activeboardcom,0.994043,0.998235
adventuresinestrogenblogspotcom,0.997853,0.989153
afsrechtsanwaeltede,0.749488,0.807265
aimhigheracuk,0.999994,0.999996
aldunningcom,0.991329,0.989069
alitoloeeiblogfacom,0.987443,0.993723
allpredatorcallscom,0.996557,0.996582
allthingslakecom,0.996728,0.996717
amarylliscreationscom,0.993949,0.993426
americanfreedomwatchradiocom,0.999813,0.999813
arkedustatearus,0.999241,0.997735
arsenalartsorg,0.988920,0.993069
artistsvswalmarttumblrcom,0.997272,0.999867
askingsmarterquestionscom,0.999988,0.999991
badhostesscom,0.932743,0.928069
bicyclelacrossecom,0.993331,0.996045
bloginstapapercom,0.999956,0.999966
blogmattmelvincom,0.995119,0.949261
bmbeautycojp,0.980804,0.999999
bwjdesigncom,0.967759,0.996730
campusrecreationtxstateedu,0.998840,0.999428
carriebodlecom,0.999851,0.999920
communityenhancetvcomau,0.999890,1.000000
contigogobmx,0.969868,0.962114
coupongreatcom,0.999902,0.999938
dakchitypepadcom,1.000000,1.000000
deepimpactumdedu,0.741628,0.741637
designedcouk,1.000000,1.000000
devonlehmancom,0.999822,0.999812
dotfivecom,0.982042,0.987955
eceuropaeu,0.994032,0.998375
ecofurnituredesigncom,0.998273,0.992960
europeanhistoryaboutcom,0.999110,0.999241
excelsiorbrewcom,0.988208,0.993943
farfetchcom,0.728231,0.876248
firstdownsportsbarcom,0.999795,0.999979
floridabankruptcyhelpcom,0.997024,0.996953
frankmanzettiscom,1.000000,1.000000
freddiehubbardmusiccom,0.998489,0.998766
friendstertweakerscom,0.993880,0.993840
gameendingscouk,0.999976,0.994512
geekpopcouk,0.999778,0.998110
goosecreekassnorg,0.997154,0.997663
grahamowengallerycom,0.995886,0.997505
greatlifetourscom,0.999988,0.999974
grumpyoldmattcom,0.979438,0.951174
horseracingbetfaircom,0.996965,0.991004
hotelgarbiibizacom,0.992090,0.982544
huguesblogscom,0.999462,0.999469
humondeviantartcom,0.767005,0.822463
hurricanecreekhomesteadcom,0.999689,0.999394
ibntaimiahalislamcom,0.999870,0.999971
ihacomcn,0.999719,0.999031
ilfdinarwordpresscom,0.966594,0.986038
infofedsca,1.000000,0.999995
ishinnavicom,1.000000,0.999928
jackcontebandcampcom,0.999165,0.999798
joelargecom,0.999013,0.996075
kathelinejeanpierrecom,0.998546,0.998547
kenyaunorg,0.999745,0.997609
kingtutshopcom,0.992856,0.993329
ksmrsmumnedu,0.999121,0.999657
landsbergjewelerscom,0.988802,0.993131
lemailloncom,0.823211,0.931818
lifestarrescuecom,0.987697,0.950736
mattdennblogsdelawaregov,0.999960,0.999990
mcdonaldscomtw,0.959830,0.967094
meatthetruthcom,0.995407,0.999959
medispaseattlecom,0.996575,0.999817
mfeeltiptopcom,0.970050,0.906376
minuautoremontee,1.000000,0.999028
monicaespositoartcom,0.995185,0.998894
mytopiacom,0.995534,0.988733
nationalpolicyinstituteorg,0.976670,0.976843
oafbca,0.992334,0.977501
openlistca,0.970147,0.980958
oxfordkarateacademycom,0.999861,0.999950
pcballoonadventurescom,0.997683,0.993199
penrynoakstablescom,0.998146,0.999212
phpkitde,0.814949,0.951082
plrme,0.994980,0.991058
pnacinfo,0.996028,0.996030
portalofevilcom,0.970682,0.971332
praxisinternationalorg,0.898483,0.981482
psccampscom,0.997229,0.997127
quickieschicagoblogspotcom,0.999910,0.999750
radionorthlandorg,0.997379,0.996687
rockandroadde,0.998117,0.999687
romaomaticcom,0.997129,0.998147
rosenfeldmediacom,0.992422,0.997618
rssowlorg,0.996103,0.996063
rsssoftwarede,0.990553,0.999020
rubyforgeorg,0.944446,0.984546
saleshoecom,0.996379,0.995519
sanfordblogspotcom,0.996448,0.999474
sautewednesdaycom,0.998244,0.998520
scvngrmobi,0.998355,0.998123
stuartwebercom,0.986503,0.999362
sudantimescom,0.999534,0.999718
surveillanceandsocietyorg,0.995726,0.992482
swcazedu,0.980283,0.990466
tavshilcoil,0.985046,0.982058
telapakorg,0.373216,0.899911
tendollarlogoscom,0.996642,1.000000
thelastgringocom,0.970636,0.980063
thetexastheatrecom,0.836460,0.971273
threatcorecom,0.999524,0.993984
trekradionet,0.995496,0.996638
ukraineusembassygov,0.990507,0.973914
uuccharlotteorg,0.907922,0.962093
wahmblogpostiecom,0.993712,0.993562
wangulencom,0.975239,0.999307
wcclinicalcom,0.986314,0.983023
whalewatchneaqorg,0.998758,0.999984
windandstarscom,0.998992,0.992365
yesonbinfo,0.858240,0.981787
yourhomestagingtorstardigitalnet,0.979796,0.970182
yuedujo,0.920231,0.976852
zentexturescom,0.999940,0.999968
